unigeneid	genename
Hs.75335	GATM
Hs.75360	CPE
Hs.75372	NAGA
Hs.75431	ALPL
Hs.75516	TYK2
Hs.75599	SERPINC1
Hs.75636	MYL7
Hs.75640	NPPA
Hs.75643	NFE2
Hs.75703	CCL4
Hs.75724	MRPS22
Hs.75765	CXCL2
Hs.75799	PRSS8
Hs.75823	MLLT11
Hs.76152	AQP1
Hs.76206	CDH5
Hs.76224	EFEMP1
Hs.76392	ALDH1A1
Hs.76452	CRP
Hs.76460	SLC38A3
Hs.76662	ZDHHC16
Hs.76716	ITIH3
Hs.76753	ENG
Hs.76838	SERPINA7
Hs.76838	SERPINA7
Hs.76884	ID3
Hs.77221	CHKA
Hs.77254	CBX1
Hs.77367	CXCL9
Hs.77422	PLP2
Hs.77448	ALDH4A1
Hs.77628	STARD3
Hs.77695	DLGAP5
Hs.77719	GGCX
Hs.77741	KNG1
Hs.77783	PKMYT1
Hs.77793	CSK
Hs.77810	NFATC4
Hs.77873	CD276
Hs.77876	ARMC6
Hs.77961	HLA-B
Hs.78016	PNKP
Hs.78019	ACD
Hs.78036	SLC6A2
Hs.78065	C7
Hs.78089	ATP6V1F
Hs.78183	AKR1C3
Hs.78466	PSMD8
Hs.78466	PSMD8
Hs.78601	UROD
Hs.78771	PGK1
Hs.78880	ILVBL
Hs.78977	PCSK1
Hs.79033	QPCT
Hs.79092	PTPN5
Hs.79136	SLC39A6
Hs.79322	QARS
Hs.79361	KLK6
Hs.79363	HIPK4
Hs.79625	PPDPF
Hs.80485	ADIPOQ
Hs.80539	RCVRN
Hs.80545	RPL37
Hs.80552	DPT
Hs.80658	UCP2
Hs.80691	CKMT2
Hs.80741	PCCA
Hs.80756	BHMT
Hs.80828	KRT1
Hs.80919	SYPL1
Hs.80962	NTS
Hs.81071	ECM1
Hs.81073	FETUB
Hs.81134	IL1RN
Hs.81218	RAPSN
Hs.81424	SUMO1
Hs.81424	SUMO1
Hs.81564	PF4
Hs.81892	KIAA0101
Hs.81934	ACADSB
Hs.82045	MDK
Hs.82071	CITED2
Hs.82098	C14orf28
Hs.82129	CA3
Hs.82432	GPD1L
Hs.82614	GYS2
Hs.82793	PSMB3
Hs.82848	SELL
Hs.82848	SELL
Hs.82933	TMEM167B
Hs.85195	MLF1
